sentence,true_label,finbert_prediction,finbert_confidence,finbert_correct,distilbert_prediction,distilbert_confidence,distilbert_correct,electra_prediction,electra_confidence,electra_correct,electra_raw_label,finbert_prob_positive,finbert_prob_negative,finbert_prob_neutral
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn .",negative,negative,0.9764,True,negative,0.999,True,negative,0.8649,True,sadness,0.008,0.9764,0.0156
"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",neutral,neutral,0.9506,True,negative,0.9433,False,positive,0.9175,False,joy,0.0284,0.021,0.9506
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,positive,positive,0.9502,True,negative,0.9588,False,positive,0.8243,True,joy,0.9502,0.0264,0.0234
"Cash flow after investments amounted to EUR45m , down from EUR46m .",negative,negative,0.9759,True,negative,0.9811,True,negative,0.6135,True,sadness,0.0087,0.9759,0.0154
"Russia 's top container shipping group , Fesco , and Finnish logistics company Nurminen Logistics have started a pilot project offering clients direct intermodal transportation service from Finland to Asia Pacific countries , Fesco said in a statement .",positive,positive,0.8923,True,positive,0.9899,True,positive,0.8905,True,joy,0.8923,0.0079,0.0998
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,neutral,negative,0.9763,False,negative,0.9924,False,negative,0.6321,False,sadness,0.0072,0.9763,0.0165
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,negative,negative,0.9022,True,negative,0.9963,True,neutral,0.3983,False,anger,0.0488,0.9022,0.0491
$AMZN new HOD with conviction keeping $570 on watch for Resistance.,positive,positive,0.7771,True,negative,0.9439,False,positive,0.3864,True,joy,0.7771,0.0961,0.1268
Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.,negative,negative,0.9308,True,negative,0.9996,True,positive,0.5169,False,joy,0.0193,0.9308,0.0499
Meggitt share price tumbles as profit falls in 'challenging year',negative,negative,0.9718,True,negative,0.9993,True,positive,0.8894,False,joy,0.0088,0.9718,0.0194
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,negative,negative,0.9753,True,negative,0.9972,True,positive,0.7721,False,joy,0.0073,0.9753,0.0174
The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,positive,positive,0.7242,True,positive,0.9993,True,positive,0.9444,True,joy,0.7242,0.0085,0.2673
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,negative,negative,0.9757,True,negative,0.9983,True,negative,0.6135,True,sadness,0.0087,0.9757,0.0156
"Finnish Konecranes is again trying to acquire Italian Fantuzzi , a manufacturer of gantry cranes and reach stackers .",neutral,neutral,0.6399,True,negative,0.992,False,positive,0.697,False,joy,0.3478,0.0123,0.6399
He said : `` It is for sale again and we will be actively marketing it .,neutral,positive,0.8027,False,positive,0.9841,False,positive,0.931,False,joy,0.8027,0.0088,0.1885
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,negative,negative,0.9743,True,negative,0.9995,True,negative,0.8395,True,sadness,0.0077,0.9743,0.0181
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,neutral,neutral,0.9502,True,positive,0.9276,False,positive,0.8586,False,joy,0.0259,0.0239,0.9502
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,positive,0.9506,True,negative,0.9908,False,positive,0.6014,True,joy,0.9506,0.0279,0.0215
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",neutral,neutral,0.9009,True,negative,0.9926,False,positive,0.8854,False,joy,0.0874,0.0117,0.9009
what is up with $HK..... from Jan to now it's been a sinking ship...,negative,negative,0.8647,True,negative,0.9997,True,neutral,0.3712,False,fear,0.0198,0.8647,0.1155
"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote .",neutral,neutral,0.7412,True,positive,0.8062,False,positive,0.8619,False,joy,0.2491,0.0097,0.7412
AstraZeneca sells US drug rights to Perrigo for $380 mln,positive,neutral,0.8843,False,negative,0.9948,False,positive,0.874,True,joy,0.1048,0.0109,0.8843
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive,neutral,0.8568,False,negative,0.9966,False,neutral,0.3037,False,anger,0.1281,0.015,0.8568
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,negative,0.9764,True,negative,0.996,True,negative,0.8246,True,sadness,0.0069,0.9764,0.0167
The veneer and plywood industry in Sweden is quite small despite the raw material resources .,neutral,neutral,0.8383,True,negative,0.9992,False,positive,0.5156,False,joy,0.0424,0.1193,0.8383
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",negative,negative,0.9737,True,negative,0.9996,True,negative,0.3939,True,sadness,0.0075,0.9737,0.0188
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,positive,0.7792,True,positive,0.992,True,positive,0.9167,True,joy,0.7792,0.0066,0.2142
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,negative,neutral,0.9042,False,negative,0.9981,True,neutral,0.4086,False,anger,0.0422,0.0536,0.9042
Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .,neutral,neutral,0.898,True,negative,0.9936,False,positive,0.8508,False,joy,0.0732,0.0288,0.898
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .,neutral,neutral,0.9404,True,negative,0.998,False,positive,0.3451,False,joy,0.019,0.0406,0.9404
$CRUS Upgraded to a buy by Alpha Street Research,positive,positive,0.8512,True,negative,0.9946,False,positive,0.84,True,joy,0.8512,0.0107,0.1382
GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,neutral,neutral,0.8463,True,positive,0.9789,False,positive,0.9466,False,joy,0.1452,0.0085,0.8463
The layoff talks were first announced in August .,neutral,neutral,0.6291,True,negative,0.9859,False,positive,0.4241,False,joy,0.03,0.3409,0.6291
The transaction value is CAD 15 million approximately EUR 10 million .,neutral,neutral,0.9529,True,negative,0.5264,False,positive,0.759,False,joy,0.0238,0.0233,0.9529
The total need for staff cuts corresponds to about 300 man-years .,negative,negative,0.9635,True,negative,0.9979,True,positive,0.5049,False,joy,0.0088,0.9635,0.0277
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,neutral,0.8115,False,positive,0.9957,True,positive,0.9119,True,joy,0.1801,0.0084,0.8115
"Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .",positive,neutral,0.5125,False,positive,0.9914,True,positive,0.9135,True,joy,0.4806,0.0068,0.5125
"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",positive,positive,0.6827,True,negative,0.937,False,positive,0.8898,True,joy,0.6827,0.0082,0.3091
Sainsbury sells unit to LloydsPharmacy,positive,neutral,0.9322,False,negative,0.9847,False,negative,0.35,False,sadness,0.0515,0.0163,0.9322
Primark racks up a happy Christmas after strong sales,positive,positive,0.8915,True,positive,0.9998,True,positive,0.9498,True,joy,0.8915,0.0437,0.0648
$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,negative,negative,0.4909,True,negative,0.9996,True,neutral,0.4361,False,anger,0.036,0.4909,0.4731
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",neutral,neutral,0.5508,True,positive,0.9851,False,positive,0.8959,False,joy,0.037,0.4122,0.5508
The actions are expected to deliver annual cost savings of some EUR15-20m .,positive,positive,0.9496,True,positive,0.8407,True,positive,0.9388,True,joy,0.9496,0.0141,0.0363
"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",neutral,neutral,0.7719,True,negative,0.7712,False,positive,0.9372,False,joy,0.2204,0.0077,0.7719
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",neutral,neutral,0.9489,True,negative,0.992,False,positive,0.9035,False,joy,0.0365,0.0146,0.9489
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,0.9561,True,negative,0.5419,False,positive,0.8796,True,joy,0.9561,0.0202,0.0237
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,neutral,0.9503,True,positive,0.9957,False,positive,0.7601,False,joy,0.0355,0.0142,0.9503
"Long Position on $IP,....Scaling UP http://stks.co/sIln",positive,positive,0.6418,True,negative,0.9956,False,neutral,0.3956,False,fear,0.6418,0.0141,0.344
Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,positive,positive,0.9487,True,negative,0.9757,False,positive,0.9223,True,joy,0.9487,0.028,0.0233
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,positive,positive,0.8982,True,positive,0.999,True,positive,0.9247,True,joy,0.8982,0.0089,0.093
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative,negative,0.9232,True,negative,0.9961,True,neutral,0.5461,False,fear,0.0134,0.9232,0.0633
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",neutral,neutral,0.7834,True,positive,0.9914,False,positive,0.8501,False,joy,0.2094,0.0073,0.7834
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,positive,0.9573,True,positive,0.8793,True,negative,0.4372,False,sadness,0.9573,0.0227,0.02
$LUV Continues to consolidate above previous break out area...,positive,positive,0.9485,True,positive,0.9979,True,positive,0.4376,True,joy,0.9485,0.028,0.0235
Full-year operating result for 2008 was 3.6 million negative .,neutral,negative,0.9727,False,negative,0.9996,False,negative,0.7275,False,sadness,0.0075,0.9727,0.0198
