sentence,true_label,finbert_prediction,finbert_confidence,finbert_correct,distilbert_prediction,distilbert_confidence,distilbert_correct,electra_prediction,electra_confidence,electra_correct,finbert_prob_negative,finbert_prob_neutral,finbert_prob_positive
"Russia 's top container shipping group , Fesco , and Finnish logistics company Nurminen Logistics have started a pilot project offering clients direct intermodal transportation service from Finland to Asia Pacific countries , Fesco said in a statement .",positive,positive,0.9064,True,positive,0.6568,True,neutral,0.5401,False,0.0057,0.0878,0.9064
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,neutral,negative,0.8677,False,negative,0.7487,False,negative,0.43,False,0.8677,0.1249,0.0074
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,negative,negative,0.9491,True,negative,0.909,True,negative,0.628,True,0.9491,0.026,0.0249
$AMZN new HOD with conviction keeping $570 on watch for Resistance.,positive,positive,0.9291,True,positive,0.6022,True,negative,0.5015,False,0.0613,0.0096,0.9291
Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.,negative,negative,0.9321,True,negative,0.8141,True,negative,0.5693,True,0.9321,0.0599,0.008
Meggitt share price tumbles as profit falls in 'challenging year',negative,negative,0.9267,True,negative,0.8666,True,negative,0.5883,True,0.9267,0.0667,0.0066
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,negative,negative,0.8157,True,negative,0.789,True,positive,0.3867,False,0.8157,0.1773,0.007
The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,positive,positive,0.9405,True,positive,0.8418,True,neutral,0.6059,False,0.0089,0.0505,0.9405
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,negative,negative,0.8353,True,negative,0.732,True,negative,0.4172,True,0.8353,0.1582,0.0065
"Finnish Konecranes is again trying to acquire Italian Fantuzzi , a manufacturer of gantry cranes and reach stackers .",neutral,neutral,0.9289,True,neutral,0.5248,True,neutral,0.6974,True,0.0082,0.9289,0.0628
He said : `` It is for sale again and we will be actively marketing it .,neutral,neutral,0.5361,True,neutral,0.8556,True,neutral,0.772,True,0.0096,0.5361,0.4543
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,negative,negative,0.8095,True,negative,0.7543,True,negative,0.4224,True,0.8095,0.1834,0.0072
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,neutral,neutral,0.9772,True,neutral,0.9698,True,neutral,0.8237,True,0.0083,0.9772,0.0145
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,positive,0.9825,True,positive,0.9729,True,positive,0.5449,True,0.0053,0.0122,0.9825
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",neutral,neutral,0.9744,True,neutral,0.9718,True,neutral,0.7355,True,0.0062,0.9744,0.0194
what is up with $HK..... from Jan to now it's been a sinking ship...,negative,negative,0.9217,True,negative,0.5574,True,negative,0.62,True,0.9217,0.0682,0.0101
"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote .",neutral,neutral,0.9276,True,neutral,0.8481,True,neutral,0.7692,True,0.0068,0.9276,0.0655
AstraZeneca sells US drug rights to Perrigo for $380 mln,positive,positive,0.9627,True,positive,0.8204,True,neutral,0.5462,False,0.0148,0.0225,0.9627
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive,positive,0.9712,True,positive,0.8945,True,positive,0.4645,True,0.0089,0.0199,0.9712
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,negative,0.8504,True,negative,0.7286,True,negative,0.4124,True,0.8504,0.142,0.0075
The veneer and plywood industry in Sweden is quite small despite the raw material resources .,neutral,neutral,0.9523,True,neutral,0.8624,True,neutral,0.7443,True,0.0364,0.9523,0.0113
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",negative,negative,0.8325,True,negative,0.7617,True,neutral,0.3712,False,0.8325,0.1608,0.0067
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,positive,0.9407,True,positive,0.8156,True,neutral,0.5806,False,0.0048,0.0545,0.9407
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,negative,negative,0.9288,True,negative,0.912,True,negative,0.512,True,0.9288,0.0589,0.0123
Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .,neutral,neutral,0.9687,True,neutral,0.9723,True,neutral,0.8181,True,0.0085,0.9687,0.0228
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .,neutral,neutral,0.9765,True,neutral,0.9502,True,neutral,0.6883,True,0.0094,0.9765,0.0142
$CRUS Upgraded to a buy by Alpha Street Research,positive,positive,0.9832,True,positive,0.9652,True,positive,0.5038,True,0.0102,0.0065,0.9832
GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,neutral,neutral,0.9294,True,neutral,0.9224,True,neutral,0.6876,True,0.0074,0.9294,0.0632
The layoff talks were first announced in August .,neutral,neutral,0.8459,True,neutral,0.598,True,neutral,0.7002,True,0.1332,0.8459,0.0209
The transaction value is CAD 15 million approximately EUR 10 million .,neutral,neutral,0.9767,True,neutral,0.9681,True,neutral,0.82,True,0.007,0.9767,0.0163
The total need for staff cuts corresponds to about 300 man-years .,negative,negative,0.8591,True,negative,0.6561,True,neutral,0.602,False,0.8591,0.1313,0.0096
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,neutral,0.8758,False,neutral,0.6615,False,neutral,0.7496,False,0.0077,0.8758,0.1165
"Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .",positive,positive,0.6901,True,neutral,0.7016,False,neutral,0.7398,False,0.0078,0.3021,0.6901
"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",positive,neutral,0.558,False,positive,0.7405,True,neutral,0.7215,False,0.0069,0.558,0.4351
Sainsbury sells unit to LloydsPharmacy,positive,positive,0.7671,True,neutral,0.4588,False,neutral,0.4365,False,0.1241,0.1088,0.7671
Primark racks up a happy Christmas after strong sales,positive,positive,0.9817,True,positive,0.9641,True,positive,0.502,True,0.0119,0.0064,0.9817
$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,negative,negative,0.9575,True,negative,0.9136,True,negative,0.6218,True,0.9575,0.0323,0.0102
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",neutral,negative,0.5647,False,neutral,0.775,True,neutral,0.7248,True,0.5647,0.4273,0.008
The actions are expected to deliver annual cost savings of some EUR15-20m .,positive,positive,0.9834,True,positive,0.9421,True,positive,0.4709,True,0.0097,0.007,0.9834
"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",neutral,neutral,0.5142,True,positive,0.6797,False,neutral,0.5798,True,0.0083,0.5142,0.4775
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",neutral,neutral,0.966,True,neutral,0.952,True,neutral,0.7576,True,0.0068,0.966,0.0272
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,0.9829,True,positive,0.9729,True,positive,0.5332,True,0.005,0.0121,0.9829
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,neutral,0.9765,True,neutral,0.971,True,neutral,0.804,True,0.0079,0.9765,0.0156
"Long Position on $IP,....Scaling UP http://stks.co/sIln",positive,positive,0.983,True,positive,0.9696,True,negative,0.5063,False,0.0116,0.0053,0.983
Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,positive,positive,0.9828,True,positive,0.974,True,positive,0.5415,True,0.0067,0.0105,0.9828
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,positive,positive,0.8871,True,positive,0.9402,True,neutral,0.443,False,0.0053,0.1076,0.8871
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative,negative,0.6634,True,negative,0.587,True,neutral,0.5792,False,0.6634,0.3236,0.013
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",neutral,neutral,0.9437,True,neutral,0.9193,True,neutral,0.7665,True,0.0062,0.9437,0.0502
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,positive,0.9859,True,positive,0.9706,True,positive,0.5366,True,0.0073,0.0069,0.9859
$LUV Continues to consolidate above previous break out area...,positive,positive,0.9657,True,positive,0.9684,True,negative,0.5109,False,0.0294,0.0049,0.9657
Full-year operating result for 2008 was 3.6 million negative .,neutral,negative,0.7486,False,negative,0.7628,False,negative,0.4878,False,0.7486,0.246,0.0055
